medicago;soybean_id;soybean;lotus;faba;arabidopsis;maize
MtrunA17_CPg0492181;KRH28854;Glyma.11G081100;LotjaGiC1v0010100;NA;NA;NA
MtrunA17_CPg0492191;KRH00102;Glyma.18G193100;LotjaGiC1v0010200;NA;NA;NA
MtrunA17_CPg0492241;KRG99582;Glyma.18G155300;NA;NA;NA;NA
MtrunA17_CPg0492251;KRG99583;Glyma.18G155400;NA;NA;NA;NA
MtrunA17_CPg0492271;KRG99584;Glyma.18G155500;NA;NA;NA;NA
MtrunA17_CPg0492311;KRH45231;Glyma.08G259600;LotjaGiC1v0011300;NA;NA;NA
MtrunA17_CPg0492351;KRH38400;Glyma.09G133900;NA;NA;NA;NA
MtrunA17_CPg0492361;KRH44755;Glyma.08G229200;LotjaGi6g1v0065200_LC;NA;NA;NA
MtrunA17_CPg0492371;KRH13956;Glyma.15G274900;LotjaGi1g1v0659900;NA;NA;NA
MtrunA17_CPg0492421;KRH35362;Glyma.10G238400;NA;NA;NA;NA
MtrunA17_CPg0492431;KRH32690;Glyma.10G068800;NA;NA;NA;NA
MtrunA17_CPg0492451;KRH57940;Glyma.05G094500;NA;NA;NA;NA
MtrunA17_CPg0492461;KRH07064;Glyma.16G065300;NA;NA;NA;NA
MtrunA17_Chr4g0000671;KRH07064;Glyma.16G065300;NA;NA;NA;NA
MtrunA17_CPg0492514;KRH32825;Glyma.10G078900;NA;NA;NA;NA
MtrunA17_CPg0492541;KRG98521;Glyma.18G078500;NA;NA;NA;NA
MtrunA17_CPg0492551;KRG61172;Glyma.U009100;LotjaGiC1v0008100;NA;NA;NA
MtrunA17_CPg0492581;KRH38106;Glyma.09G111600;NA;NA;NA;NA
MtrunA17_CPg0492621;KRH16340;Glyma.14G149900;NA;NA;NA;NA
MtrunA17_CPg0492641;KRH58637;Glyma.05G140500;LotjaGiC1v0007500;NA;NA;NA
MtrunA17_CPg0492651;KRH11527;Glyma.15G114600;NA;NA;NA;NA
MtrunA17_CPg0492671;KRH75043;Glyma.01G058600;NA;NA;NA;NA
MtrunA17_CPg0492681;KRH65831;Glyma.03G065000;LotjaGiC1v0007200;NA;NA;NA
MtrunA17_CPg0492701;KRH12703;Glyma.15G188400;NA;NA;NA;NA
MtrunA17_CPg0492711;KRH45575;Glyma.08G281300;LotjaGiC1v0006900;NA;NA;NA
MtrunA17_CPg0492731;KRG89792;Glyma.20G048700;NA;NA;NA;NA
MtrunA17_CPg0492741;KRH17326;Glyma.14G213500;NA;NA;NA;NA
MtrunA17_CPg0492761;KRH27382;Glyma.12G232100;LotjaGiC1v0006600;NA;NA;NA
MtrunA17_CPg0492771;KRH13439;Glyma.15G238900;NA;NA;NA;NA
MtrunA17_CPg0492781;KRH27384;Glyma.12G232300;LotjaGi5g1v0105600;NA;NA;NA
MtrunA17_CPg0492791;KRH11726;Glyma.15G126100;NA;NA;NA;NA
MtrunA17_CPg0492791;KRH27385;Glyma.12G232400;NA;NA;NA;NA
MtrunA17_CPg0492811;KRH27386;Glyma.12G232500;NA;NA;NA;NA
MtrunA17_CPg0492821;KRH27388;Glyma.12G232700;LotjaGiC1v0005800;NA;NA;NA
MtrunA17_Chr4g0016841;KRH27388;Glyma.12G232700;LotjaGiC1v0005600;NA;NA;NA
MtrunA17_CPg0492841;KRH27389;Glyma.12G232800;NA;NA;NA;NA
MtrunA17_CPg0492851;KRH27390;Glyma.12G232900;NA;NA;NA;NA
MtrunA17_CPg0492871;KRH47408;Glyma.07G028100;LotjaGi4g1v0356100_LC;NA;NA;NA
MtrunA17_CPg0492891;KRH13577;Glyma.15G248500;NA;NA;NA;NA
MtrunA17_CPg0492901;KRH13578;Glyma.15G248600;NA;NA;NA;NA
MtrunA17_CPg0492941;KRH27381;Glyma.12G232000;NA;Vfaba.Hedin2.R2.4g023436;NA;Zm00001eb436190_P001
MtrunA17_CPg0492961;KRH27380;Glyma.12G231900;LotjaGiC1v0004100;NA;NA;NA
MtrunA17_CPg0492971;KRH57995;Glyma.05G099200;NA;NA;NA;NA
MtrunA17_CPg0492981;KRH25342;Glyma.12G096200;LotjaGiC1v0003900;NA;NA;NA
MtrunA17_CPg0492991;KRH65372;Glyma.03G031100;LotjaGiC1v0003800;NA;NA;NA
MtrunA17_CPg0493001;KRH72585;Glyma.02G221400;LotjaGi1g1v0660100_LC;NA;NA;NA
MtrunA17_CPg0493021;KRH75289;Glyma.01G076000;NA;NA;NA;NA
MtrunA17_CPg0493131;KRH76460;Glyma.01G153500;LotjaGi6g1v0065000_LC;NA;NA;NA
MtrunA17_CPg0493171;KRH75602;Glyma.01G095900;NA;NA;NA;NA
MtrunA17_CPg0493221;KRH37800;Glyma.09G090100;NA;NA;NA;NA
MtrunA17_CPg0493231;KRH49261;Glyma.07G143800;LotjaGiC1v0001900;NA;NA;NA
MtrunA17_CPg0493261;KRH39115;Glyma.09G178600;NA;NA;NA;NA
MtrunA17_CPg0493311;KRH76459;Glyma.01G153400;NA;NA;NA;NA
MtrunA17_CPg0493341;KRH07448;Glyma.16G089800;NA;NA;NA;NA
MtrunA17_CPg0493371;KRH18574;Glyma.13G068600;NA;NA;NA;NA
MtrunA17_CPg0493391;KRH71996;Glyma.02G184000;NA;NA;NA;NA
MtrunA17_CPg0493411;KRH24770;Glyma.12G061600;LotjaGiC1v0000500;NA;NA;NA
MtrunA17_CPg0493441;KRH17937;Glyma.13G028200;NA;NA;NA;NA
MtrunA17_Chr0c01g0489261;KRH71127;Glyma.02G131300;NA;NA;NA;NA
MtrunA17_Chr0c01g0489311;KRH71091;Glyma.02G128800;LotjaGi2g1v0285700;Vfaba.Hedin2.R2.1g004332;NA;NA
MtrunA17_Chr0c01g0489321;KRH63066;Glyma.04G152800;LotjaGi2g1v0285800;NA;NA;NA
MtrunA17_Chr0c01g0489331;KRH71081;Glyma.02G128200;LotjaGi2g1v0286200;Vfaba.Hedin2.R2.1g004336;AT3G05390.1;Zm00001eb260260_P001
MtrunA17_Chr0c01g0489331;KRH71082;Glyma.02G128200;LotjaGi2g1v0286200;Vfaba.Hedin2.R2.1g004336;AT3G05390.1;Zm00001eb260260_P001
MtrunA17_Chr0c01g0489381;KRH33418;Glyma.10G121800;LotjaGi1g1v0309200_LC;NA;NA;NA
MtrunA17_Chr0c01g0489401;KRH71092;Glyma.02G128900;LotjaGi1g1v0035900_LC;Vfaba.Hedin2.R2.1g004338;AT1G26170.1;Zm00001eb380420_P005
MtrunA17_Chr0c01g0489391;KRH71092;Glyma.02G128900;NA;Vfaba.Hedin2.R2.1g004338;AT1G26170.1;Zm00001eb380420_P005
MtrunA17_Chr0c01g0489421;KRH63073;Glyma.04G153400;NA;Vfaba.Hedin2.R2.1g004576;NA;NA
MtrunA17_Chr0c01g0489441;KRH63074;Glyma.04G153500;NA;Vfaba.Hedin2.R2.1g009962;NA;NA
MtrunA17_Chr0c01g0489461;KRH75571;Glyma.01G093400;LotjaGi2g1v0285100;Vfaba.Hedin2.R2.1g004361;AT3G24140.1;Zm00001eb344960_P001
MtrunA17_Chr0c01g0489471;KRH71095;Glyma.02G129200;LotjaGi2g1v0285000;NA;NA;NA
MtrunA17_Chr0c01g0489481;KRH71097;Glyma.02G129300;LotjaGi2g1v0284700;Vfaba.Hedin2.R2.1g004358;AT1G68690.1;NA
MtrunA17_Chr0c01g0489491;KRH75565;Glyma.01G093000;LotjaGi2g1v0284800;Vfaba.Hedin2.R2.1g004363;AT5G54890.1;Zm00001eb171690_P001
MtrunA17_Chr0c01g0489511;KRH75554;Glyma.01G092300;NA;Vfaba.Hedin2.R2.1g004365;AT1G68725.1;NA
MtrunA17_Chr0c02g0489651;KRH43734;Glyma.08G167800;LotjaGi3g1v0136000;Vfaba.Hedin2.R2.1g004148;AT1G79200.1;Zm00001eb233100_P002
